code,state,h1b,unemployment,gdp,greencard,year
MO,Missouri,4964,6.57,1103646,748,2013
MT,Montana,148,5.37,172916,25,2013
NE,Nebraska,1384,3.76,427062,564,2013
NV,Nevada,1045,9.51,512818,124,2013
NH,New Hampshire,1553,5.05,274230,154,2013
NJ,New Jersey,29575,8.15,2124287,6524,2013
NM,New Mexico,839,6.83,363338,168,2013
NY,New York,39731,7.58,5320945,6231,2013
NC,North Carolina,11604,7.85,1819780,1854,2013
ND,North Dakota,462,2.88,219860,86,2013
OH,Ohio,11565,7.33,2258734,1452,2013
OK,Oklahoma,1564,5.23,744027,175,2013
OR,Oregon,3632,7.83,786375,700,2013
PA,Pennsylvania,16631,7.12,2639168,1680,2013
RI,Rhode Island,1777,9.19,208747,256,2013
SC,South Carolina,1650,7.51,726226,444,2013
SD,South Dakota,259,3.75,178241,50,2013
TN,Tennessee,4227,7.68,1152048,501,2013
TX,Texas,41684,6.12,6145886,12537,2013
UT,Utah,1891,4.48,533095,252,2013
VT,Vermont,258,4.37,114760,79,2013
VA,Virgina,13004,5.6,1796941,2241,2013
WA,Washington,15107,6.95,1622246,3254,2013
WV,West Virgina,518,6.71,288327,48,2013
WI,Wisconsin,5022,6.63,1126278,647,2013
WY,Wyoming,121,4.69,163873,20,2013
AL,Alabama,1769,6.73,775979,255,2014
AK,Alaska,228,6.87,232783,26,2014
AZ,Arizona,7221,6.71,1124123,1100,2014
AR,Arkansas,2321,6.02,472271,608,2014
CA,Califonia,95846,7.48,9435245,16235,2014
CO,Colorado,5617,4.93,1222530,701,2014
CT,Connecticut,8836,6.57,978511,648,2014
DE,Delaware,3165,5.7,264462,300,2014
,District of Columbia,3635,7.76,465434,234,2014
FL,Florida,17300,6.18,3335870,3001,2014
GA,Georgia,17564,7.02,1917090,2758,2014
HI,Hawaii,557,4.37,308621,95,2014
ID,Idaho,599,4.79,253222,124,2014
IL,Illinois,27031,7.01,3000847,2456,2014
IN,Indiana,5477,5.86,1303615,612,2014
IA,Iowa,3155,4.24,684461,402,2014
KS,Kansas,2397,4.49,593870,201,2014
KY,Kentucky,2150,6.38,743782,205,2014
LA,Louisiana,1803,6.25,973898,320,2014
ME,Maine,710,5.59,221583,89,2014
MD,Maryland,9529,5.77,1403492,1295,2014
MA,Massachusetts,19640,5.68,1838187,2365,2014
MI,Michigan,13758,7.09,1782139,2456,2014
MN,Minnesota,8944,4.13,1270613,915,2014
MS,Mississippi,673,7.43,418532,98,2014
MO,Missouri,6161,6.05,1129526,750,2014
MT,Montana,124,4.66,180254,28,2014
NE,Nebraska,1697,3.27,448669,600,2014
NV,Nevada,1134,7.89,532435,125,2014
NH,New Hampshire,1662,4.27,284767,150,2014
NJ,New Jersey,36438,6.73,2171155,6652,2014
NM,New Mexico,892,6.68,378698,175,2014
NY,New York,45474,6.31,5568074,7154,2014
NC,North Carolina,13439,6.22,1901679,1902,2014
ND,North Dakota,490,2.68,238844,90,2014
OH,Ohio,13434,5.7,2380879,1552,2014
OK,Oklahoma,1814,4.44,795007,186,2014
OR,Oregon,4522,6.78,815637,708,2014
PA,Pennsylvania,18994,5.78,2742041,1780,2014
RI,Rhode Island,2212,7.65,215210,250,2014
SC,South Carolina,2060,6.35,764666,452,2014
SD,South Dakota,277,3.4,182589,52,2014
TN,Tennessee,4536,6.47,1196559,524,2014
TX,Texas,51179,5.05,6448966,13258,2014
UT,Utah,2288,3.76,563424,253,2014
VT,Vermont,355,3.94,117650,82,2014
VA,Virgina,15325,5.17,1837950,2224,2014
WA,Washington,17369,6.09,1706370,3452,2014
WV,West Virgina,431,6.61,295401,50,2014
WI,Wisconsin,5496,5.36,1165618,650,2014
WY,Wyoming,165,4.15,166299,11,2014
AL,Alabama,1859,6.08,801685,253,2015
AK,Alaska,183,6.43,213244,30,2015
AZ,Arizona,8654,5.92,1171886,1115,2015
AR,Arkansas,3004,5.03,477281,615,2015
CA,Califonia,112277,6.18,10023413,17362,2015
CO,Colorado,6594,3.79,1260805,700,2015
CT,Connecticut,10044,5.63,1022068,650,2015
DE,Delaware,3738,4.83,278326,330,2015
,District of Columbia,3992,6.88,486111,235,2015
FL,Florida,19967,5.33,3555312,3020,2015
GA,Georgia,22860,5.87,2025190,2852,2015
HI,Hawaii,544,3.58,326980,100,2015
ID,Idaho,766,4.17,263682,145,2015
IL,Illinois,32434,5.93,3108973,2598,2015
IN,Indiana,6088,4.82,1342880,600,2015
IA,Iowa,3193,3.83,721761,412,2015
KS,Kansas,2570,4.23,605256,200,2015
KY,Kentucky,2384,5.23,767648,215,2015
LA,Louisiana,2663,6.31,962651,330,2015
ME,Maine,706,4.33,229278,90,2015
